id,version,address,bathroom,bedroom,city,finished_sq_ft,last_sold_date,last_sold_price,latitude,longitude,lot_size_sq_ft,state,tax_assesment,tax_assesment_year,total_room,use_code,year_built,zest_amt,zest_high,zest_low,zest_value_change,zipcode,zpid
4620,0,4305 Nicolet Ave,2,4,Fremont,6670,2/11/2014,740000,37.562468,-122.025141,6670,CA,294116,2013,8,SingleFamily,1965,697299,732164,648488,7490,94536,25050697
4621,0,35665 Ballantine Pl,2,3,Fremont,5662,2/11/2014,711500,37.572566,-122.018813,5662,CA,142591,2013,6,SingleFamily,1970,682359,730124,641417,-2591,94536,25013149
4622,0,4140 Fairwood St,1,3,Fremont,6144,2/11/2014,585000,37.517585,-121.957022,6144,CA,148778,2013,5,SingleFamily,1959,596066,643751,560302,1443,94538,25039236
4623,0,4511 Amiens Ave,2,3,Fremont,5390,2/11/2014,780000,37.572095,-122.049891,5390,CA,232871,2013,7,SingleFamily,1986,686290,720604,638250,19497,94555,25055156
4624,0,34124 Lugano Ter,3.5,3,Fremont,0,2/11/2014,354500,37.560257,-122.063119,0,CA,119553,2013,5,SingleFamily,2007,0,0,0,0,94555,82848633
4625,0,249 Imperio Ave,2,4,Fremont,7451,2/10/2014,1250000,37.556876,-121.945202,7451,CA,950000,2013,7,SingleFamily,1975,1104964,1182311,1027617,46394,94539,25033810
4626,0,38782 Huntington Cir,2,2,Fremont,19500,2/10/2014,340000,37.56296,-121.9727,19500,CA,211420,2013,4,SingleFamily,1988,410052,487962,336243,55516,94536,25020446
4627,0,37859 Essanay Pl,3,3,Fremont,3049,2/10/2014,451000,37.576579,-121.974155,3049,CA,234638,2013,6,SingleFamily,1983,446472,513443,388431,-11665,94536,25020061
4628,0,35444 Purcell Pl,2,3,Fremont,5800,2/7/2014,745000,37.570788,-122.024917,5800,CA,254531,2013,6,SingleFamily,1967,685144,726253,630332,7992,94536,25013005
4629,0,37851 Essanay Pl,1.5,2,Fremont,3309,2/7/2014,445000,37.576741,-121.974121,3309,CA,90956,2013,5,Townhouse,1983,358501,423031,290386,-20366,94536,25020059
4630,0,38535 Burdette Cmn,1,2,Fremont,622,2/7/2014,333500,37.560945,-121.980584,622,CA,228513,2013,4,Condominium,1979,301756,322879,265545,7452,94536,25014374
4631,0,43501 Ocaso Corte,3,2,Fremont,1306,2/7/2014,860000,37.526039,-121.931372,1306,CA,535321,2013,5,SingleFamily,1979,853957,930813,785640,8929,94539,25023354
4632,0,5271 Tacoma Cmn,2,2,Fremont,89733,12/9/2013,460000,37.56038,-122.050638,89733,CA,0,0,0,Condominium,1989,408820,441526,384291,1849,94555,2110457812
4633,0,485 Mayten Way,3,4,Fremont,7245,2/7/2014,999000,37.473356,-121.91435,7245,CA,268046,2013,7,SingleFamily,1963,887367,931735,807504,27725,94539,25026012
4634,0,4617 Mayfield Dr,3,4,Fremont,10890,2/6/2014,1125000,37.544243,-122.002153,10890,CA,608528,2013,8,SingleFamily,1955,925851,1046212,824007,23827,94536,25007608
4635,0,2037 Dorne Pl,2,3,Fremont,6510,2/6/2014,1078000,37.539918,-121.946688,6510,CA,213677,2013,8,SingleFamily,1960,1030917,1092772,958753,16115,94539,25033443
4636,0,318 J St,1,2,Fremont,2157,2/6/2014,310000,37.573698,-121.9776,2157,CA,311668,2013,4,SingleFamily,1930,375518,431846,330456,-21167,94536,25016747
4637,0,1959 Mento Dr,3,4,Fremont,6630,2/6/2014,1291000,37.536834,-121.940506,6630,CA,568111,2013,6,SingleFamily,1961,1160370,1241596,1067540,9211,94539,25033392
4638,0,1800 Olive Ave,2,3,Fremont,6485,2/6/2014,990000,37.534584,-121.938504,6485,CA,838478,2013,0,SingleFamily,1976,887869,967777,816839,4177,94539,25034733
4639,0,38018 Dover Cmn,1.5,3,Fremont,860,2/6/2014,425000,37.557131,-121.994679,860,CA,168453,2013,6,Condominium,1971,365044,401548,332190,8724,94536,25011898
4640,0,40686 Ambar Pl,2,4,Fremont,6527,2/6/2014,1165000,37.5485,-121.950579,6527,CA,150096,2013,10,SingleFamily,1969,1126748,1239423,1014073,26545,94539,25032648
4641,0,4560 El Cajon Ave,2,3,Fremont,5662,2/6/2014,530000,37.557684,-122.024418,5662,CA,59532,2013,5,SingleFamily,1954,462638,508902,402495,809,94536,25005089
4642,0,4448 Porter St,1,4,Fremont,5166,2/5/2014,537000,37.533252,-121.973045,5166,CA,221105,2013,6,SingleFamily,1955,461131,507244,419629,15374,94538,25036767
4643,0,47426 Cholla St,2.5,5,Fremont,9384,2/5/2014,400000,37.4859,-121.916145,9384,CA,284316,2012,9,SingleFamily,1971,831477,1089235,565404,-111653,94539,25025625
4644,0,38595 Royal Ann Cmn,1.5,2,Fremont,846,2/5/2014,335000,37.567269,-121.970003,846,CA,193800,2013,5,Townhouse,1971,327535,376665,294782,14642,94536,25017342
4645,0,3528 Madison Cmn,3.5,2,Fremont,1089,2/4/2014,600000,37.545436,-121.975292,1089,CA,384292,2013,5,Condominium,2000,555707,605721,511250,12068,94538,25043042
4646,0,38133 Cambridge Ct,2.5,4,Fremont,5227,2/4/2014,847500,37.56115,-121.9889,5227,CA,452848,2013,9,MultiFamily2To4,1994,799529,855496,743562,-15181,94536,25015310
4647,0,2812 Cutler Ave,3,5,Fremont,5000,2/4/2014,950000,37.573834,-122.014022,5000,CA,589574,2013,10,SingleFamily,1986,898239,943151,835362,11570,94536,25014471
4648,0,34499 Heathrow Ter,2.5,3,Fremont,3746,2/4/2014,770000,37.555498,-122.058341,3746,CA,336775,2013,6,SingleFamily,1989,712473,755221,669725,6670,94555,25057494
4649,0,43363 Banda Ter,3,3,Fremont,1742,2/3/2014,840000,37.525055,-121.935847,1742,CA,737000,2013,6,Condominium,1984,792188,855563,744657,13281,94539,25023488
4650,0,49093 Rose Ter,2.5,3,Fremont,0,2/3/2014,706000,37.459815,-121.916463,0,CA,568000,2013,7,Condominium,2004,684357,732262,643296,5050,94539,68027011
4651,0,39663 Iolani Ct,2,3,Fremont,5723,2/3/2014,410000,37.530036,-121.989882,5723,CA,106082,2013,5,SingleFamily,1961,491105,535304,451817,-37850,94538,25044477
4652,0,36510 Bedelio Ter,2,3,Fremont,1748,2/3/2014,380000,37.558087,-122.019181,1748,CA,266000,2013,6,Condominium,1971,395688,427343,360076,4498,94536,25005683
4653,0,225 Marquis Ter,3,4,Fremont,3920,1/31/2014,768000,37.586895,-122.000523,3920,CA,682143,2013,8,SingleFamily,1999,769941,823837,723745,5206,94536,25021116
4654,0,1357 Mowry Ave,3,5,Fremont,24885,1/31/2014,655000,37.562687,-121.979375,24885,CA,349002,2013,10,SingleFamily,1880,703888,823549,612383,9123,94538,25012395
4655,0,34690 Osage River Ct,2,3,Fremont,9234,1/31/2014,626000,37.572358,-122.036317,9234,CA,126552,2013,7,SingleFamily,1974,601140,655243,565072,465,94555,25046955
4656,0,34125 Lugano Ter,3.5,3,Fremont,0,1/31/2014,744000,37.560185,-122.063187,0,CA,119553,2013,5,SingleFamily,2007,0,0,0,0,94555,82851387
4657,0,3264 Red Cedar Ter,2,2,Fremont,0,1/31/2014,320000,37.562533,-122.003254,0,CA,163200,2013,4,Condominium,1986,311577,339619,289767,3320,94536,72639242
4658,0,35631 Cabral Dr,2,4,Fremont,6000,1/31/2014,590000,37.558421,-122.032224,6000,CA,360356,2013,8,SingleFamily,1958,574224,637389,545513,16677,94536,25049650
4659,0,34179 Bowling Green Cmn,2.5,4,Fremont,1027,1/31/2014,362000,37.577154,-122.037657,1027,CA,232891,2013,7,SingleFamily,1970,424976,467474,382478,-1365,94555,25047893
4660,0,32980 Lake Mead Dr,2,3,Fremont,4356,1/31/2014,588000,37.587791,-122.05369,4356,CA,279277,2013,6,SingleFamily,1970,551237,595336,507138,7049,94555,25048374
4661,0,43320 Mintwood St,2.5,3,Fremont,5978,1/30/2014,655000,37.516031,-121.954225,5978,CA,82289,2013,6,SingleFamily,1955,633183,671174,588860,5409,94538,25039112
4662,0,5278 Troy Ave,2,3,Fremont,7840,1/30/2014,594000,37.536237,-122.007316,7840,CA,177622,2013,6,SingleFamily,1961,581609,639770,540896,7548,94536,25043370
